shot,target_filename,characters,frame_instruction,continuity
001,FRAME_001.png,Eddie,"Extreme close-up; Eddie at predawn kitchen table, unfinished message on phone",Use exact Eddie canon sheet
002,FRAME_002.png,none,"Overhead; two coffee mugs, scattered photographs, cracked phone case, folded letter",Maintain prior casting and location continuity
003,FRAME_003.png,Eddie,Slow push-in; Eddie lifts exhausted eyes toward lens,Use exact Eddie canon sheet
004,FRAME_004.png,"Eddie, brother offscreen",Wide; enormous concrete wall dividing deserted wet city street,Use exact Eddie canon sheet
005,FRAME_005.png,Eddie,Side profile; Eddie presses palm against wall,Use exact Eddie canon sheet
006,FRAME_006.png,brother,Reverse; estranged brother presses palm to opposite side,Maintain prior casting and location continuity
007,FRAME_007.png,none,Macro; hairline aged-gold cracks emerge between unseen hands,Maintain prior casting and location continuity
008,FRAME_008.png,"Eddie, brother","Fragmented flashback; argument at doorway, unanswered message, turning away",Use exact Eddie canon sheet
009,FRAME_009.png,"Eddie, brother",Symmetrical alternate angles; both participants visibly wounded,Use exact Eddie canon sheet
010,FRAME_010.png,Eddie,Extreme close-up; tear gathers without falling,Use exact Eddie canon sheet
011,FRAME_011.png,brother,Extreme close-up; brother jaw tightens,Maintain prior casting and location continuity
012,FRAME_012.png,none,Macro; rainwater runs down both wall faces,Maintain prior casting and location continuity
013,FRAME_013.png,"Eddie, brother",Warm memory; uncontrollable laughter in corner store,Use exact Eddie canon sheet
014,FRAME_014.png,"Eddie, brother",Memory detail; one hand steadies the other,Use exact Eddie canon sheet
015,FRAME_015.png,Eddie,"Medium; Eddie closes eyes, wall cracks faintly glow",Use exact Eddie canon sheet
016,FRAME_016.png,Eddie,Medium; Eddie rises from kitchen table,Use exact Eddie canon sheet
017,FRAME_017.png,Eddie,Tracking; Eddie crosses apartment past art and family photographs,Use exact Eddie canon sheet
018,FRAME_018.png,Eddie,Mirror; reflection lags subtly then catches up,Use exact Eddie canon sheet
019,FRAME_019.png,Eddie,Macro; clenched fist opens,Use exact Eddie canon sheet
020,FRAME_020.png,none,Wide; aged-gold light branches through concrete wall,Maintain prior casting and location continuity
021,FRAME_021.png,Eddie,Wide rooftop; Eddie above New York before sunrise,Use exact Eddie canon sheet
022,FRAME_022.png,none,Aerial; streetlights resemble interconnected nervous system,Maintain prior casting and location continuity
023,FRAME_023.png,none,Orbital; restrained gold pulses travel across Earth,Maintain prior casting and location continuity
024,FRAME_024.png,Eddie,Rooftop; parallel versions of Eddie occupy overlapping realities,Use exact Eddie canon sheet
025,FRAME_025.png,Eddie,Dimensional match; alternate Eddies reach toward unseen loved ones,Use exact Eddie canon sheet
026,FRAME_026.png,Eddie,Direct-to-camera; affectionate amused reaction on interuniversal lyric,Use exact Eddie canon sheet
027,FRAME_027.png,none,Cosmic; multiple Earth reflections overlap like imperfect glass,Maintain prior casting and location continuity
